Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" Aldrin & Dieldrin"," Carrots"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Cauliflower"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Celery"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Cereal grains (except buckwheat, millet, teosinte, and wild rice)"," Action Level"," 0.02 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Clover"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Collards"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Cowpea hay"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Cucumbers"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Eggplant"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Eggs"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Endive (escarole)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
